Id;Designator;Footprint;Quantity;Designation;Supplier and ref
1;S48,S6,S21,S31,S51,S20,S65,S2,S26,S64,S12,S27,S46,S18,S43,S47,S63,S62,S9,S40,S34,S19,S25,S30,S23,S5,S37,S17,S60,S36,S49,S3,S11,S7,S45,S44,S38,S1,S67,S39,S50,S33,S61,S16,S10,S22,S4,S35,S24,S52,S66,S32,S13,S8;SW_Cherry_MX_1.00u_PCB;54;PG151101S11;
2;J3;PinHeader_1x04_P2.54mm_Vertical;1;Addon interface;
3;D1,D2,D3;LED_D3.0mm_Clear;3;LED;
4;S57;SW_Cherry_MX_6.25u_PCB;1;PG151101S11;
5;J2;PinHeader_2x03_P2.54mm_Vertical;1;Programmer 1 time;
6;S54,S59,S58,S55,S56;SW_Cherry_MX_1.25u_PCB;5;PG151101S11;
7;J4;PinHeader_1x04_P2.54mm_Vertical;1;Digital NOB;
8;S14;SW_Cherry_MX_2.00u_PCB;1;PG151101S11;
9;S42,S41;SW_Cherry_MX_2.25u_PCB;2;PG151101S11;
10;S15,S28;SW_Cherry_MX_1.50u_PCB;2;PG151101S11;
11;S29,S53;SW_Cherry_MX_1.75u_PCB;2;PG151101S11;
12;D4;D_SOD-523;1;5V Zener;
13;C5,C15,C9,C10,C8,C14,C13,C12,C7,C11,C6;C_0402_1005Metric;11;100nF;
14;R8,R7;R_0402_1005Metric;2;R22;
15;C17,C22,C16,C23,C21,C20,C18,C19;C_0402_1005Metric;8;220pF;
16;J1;USB_C_Receptacle_G-Switch_GT-USB-7010ASV;1;USB_C_Receptacle_USB2.0;
17;MUX6,MUX3,MUX1,MUX7,MUX4,MUX2,MUX5,MUX8;QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm;8;U74HC4051G-Q16;
18;R18,R15,R9,R13,R17,R16,R12,R11,R14;R_0402_1005Metric;9;R10K;
19;R6;R_0603_1608Metric;1;R1M;
20;R20,R2,R19,R1;R_0402_1005Metric;4;5.11K;
21;C2,C3;C_0402_1005Metric;2;2pF;
22;C1;C_0402_1005Metric;1;1uF;
23;R5,R3,R4;R_0402_1005Metric;3;R330;
24;Y1;Crystal_SMD_7F16000E09UCG_4pin;1;7F16000E09UCG;
25;Q1;TO-252-2;1;PMOS;
26;R10;R_0402_1005Metric;1;R100K;
27;U1;QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm;1;ATmega32U4-M;
28;C4;C_0402_1005Metric;1;10uF;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
; ;;;;
;;;;;
;;;;;
5V Zener;D4;D_SOD-523;C3012662;;
100nF;C5,C15,C9,C10,C8,C14,C13,C12,C7,C11,C6;C_0402_1005Metric;C1525;;
R22;R8,R7;R_0402_1005Metric;C188107;;
220pF;C17,C22,C16,C23,C21,C20,C18,C19;C_0402_1005Metric;C114401;;
USB_C_Receptacle_USB2.0;J1;USB_C_Receptacle_G-Switch_GT-USB-7010ASV;C5178539;;
U74HC4051G-Q16;MUX6,MUX3,MUX1,MUX7,MUX4,MUX2,MUX5,MUX8;QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm;C2848707;;
R10K;R18,R15,R9,R13,R17,R16,R12,R11,R14;R_0402_1005Metric;;;
R1M;R6;R_0603_1608Metric;;;
5.11K;R20,R2,R19,R1;R_0402_1005Metric;;;
2pF;C2,C3;C_0402_1005Metric;;;
1uF;C1;C_0402_1005Metric;;;
R330;R5,R3,R4;R_0402_1005Metric;;;
7F16000E09UCG;Y1;Crystal_SMD_7F16000E09UCG_4pin;;;
PMOS;Q1;TO-252-2;;;
R100K;R10;R_0402_1005Metric;;;
ATmega32U4-M;U1;QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm;;;
10uF;C4;C_0402_1005Metric;;;
PG151101S11;S48,S6,S21,S31,S51,S20,S65,S2,S26,S64,S12,S27,S46,S18,S43,S47,S63,S62,S9,S40,S34,S19,S25,S30,S23,S5,S37,S17,S60,S36,S49,S3,S11,S7,S45,S44,S38,S1,S67,S39,S50,S33,S61,S16,S10,S22,S4,S35,S24,S52,S66,S32,S13,S8;SW_Cherry_MX_1.00u_PCB;;;
PG151101S12;S57;SW_Cherry_MX_6.25u_PCB;;;
PG151101S13;S54,S59,S58,S55,S56;SW_Cherry_MX_1.25u_PCB;;;
PG151101S14;S14;SW_Cherry_MX_2.00u_PCB;;;
PG151101S15;S42,S41;SW_Cherry_MX_2.25u_PCB;;;
PG151101S16;S15,S28;SW_Cherry_MX_1.50u_PCB;;;
PG151101S17;S29,S53;SW_Cherry_MX_1.75u_PCB;;;
